time,size_sent,size_rcv 
1200,508694.61796875,3900795.93515625 
1210,516842.69765625,3971655.0890625 
1220,524279.04296875,4027851.4421875 
1230,527974.15859375,4055109.4671875 
1240,529029.8859375,4063238.97890625 
1250,529244.87890625,4064955.478125 
1260,529281.8375,4065249.1203125 
1270,531463.18515625,4087406.0953125 
1280,534822.75,4119500.8890625 
1290,538340.39921875,4152875.390625 
1300,542179.71640625,4188230.9296875 
1310,547550.91171875,4226780.821875 
1320,558500.63515625,4269690.0171875 
1330,575482.33828125,4317802.871875 
1340,597857.57734375,4369691.7203125 
1350,622840.76484375,4423035.6359375 
1360,648627.046875,4475813.1015625 
1370,674778.603125,4527662.64453125 
1380,702116.246875,4579723.52578125 
1390,731180.6046875,4633007.30234375 
1400,760677.796875,4686478.2453125 
1410,789413.3234375,4740299.40234375 
1420,816507.5046875,4793397.08828125 
1430,842689.87890625,4846246.078125 
1440,867523.690625,4898087.53984375 
1450,892316.65234375,4949157.85859375 
1460,917138.30390625,5000218.7234375 
1470,940268.65703125,5049726.90078125 
1480,958116.2765625,5097401.53046875 
1490,971277.13203125,5142496.36875 
1500,981185.99609375,5189885.846875 
1510,988624.31484375,5236947.65078125 
1520,994855.24609375,5284128.67734375 
1530,1000873.396875,5333431.66875 
1540,1006597.659375,5383233.07265625 
1550,1012350.00078125,5434926.3734375 
1560,1018158.78203125,5487360.3 
1570,1024889.8515625,5546719.96328125 
1580,1033449.37578125,5618930.80546875 
1590,1043694.834375,5700213.38359375 
1600,1049360.23203125,5741678.284375 
1610,1051091.78515625,5754959.84609375 
1620,1051413.4453125,5757539.0140625 
1630,1051477.61953125,5758030.6375 
1640,1051496.23828125,5758193.2296875 
1650,1051498.55859375,5758207.41015625 
1660,1051500.24921875,5758220.21875 
1662,1051501.68828125,5758233.88203125 
